lote_id;finca;has;asnm;variedad;num_plantas
L01;Medellín;1.62;2060;Típica;8330
L02;Medellín;1.89;1414;Típica;10225
L03;Buenos Aires;3.49;1299;Típica;16944
L04;Buenos Aires;2.94;1613;Borbón;14844
L05;Diamante;0.89;1476;Caturra;4455
L06;Buenos Aires;1.72;1675;Colombia;8379
L07;Diamante;1.08;1886;Caturra;5446
L08;Medellín;1.97;1684;Caturra;9829
L09;Diamante;0.85;1366;Típica;4274
L10;Diamante;1.66;1545;Típica;8630
L11;Buenos Aires;2.8;1566;Caturra;14949
L12;Buenos Aires;0.86;1280;Borbón;4396
L13;Medellín;2.72;1201;Caturra;13863
L14;Medellín;0.32;1601;Colombia;1466
L15;Medellín;3.77;1469;Colombia;19693
L16;Diamante;2.18;1901;Tabi;9698
L17;Diamante;1.68;1537;Caturra;8632
L18;Diamante;2.51;1692;Típica;12614
L19;Medellín;3.25;1264;Típica;14421
L20;Diamante;1.32;1262;Colombia;6058
L21;Diamante;2.89;1874;Colombia;15055
L22;Medellín;2.67;1227;Colombia;13489
L23;Buenos Aires;2.57;1232;Típica;11997
L24;Diamante;2.97;2071;Borbón;13784
L25;Medellín;2.33;1938;Típica;12330
L26;Medellín;2.33;1966;Borbón;12206
L27;Buenos Aires;0.35;1406;Caturra;1759
L28;Buenos Aires;1.39;1295;Caturra;6825
L29;Medellín;0.73;1430;Caturra;3477
L30;Diamante;0.49;1898;Caturra;2559
L31;Buenos Aires;3.55;1881;Colombia;18724
L32;Diamante;3.25;1755;Caturra;16570
L33;Buenos Aires;3.56;1839;Colombia;17469
L34;Medellín;0.62;1576;Caturra;3225
L35;Buenos Aires;0.2;1944;Tabi;1007
L36;Buenos Aires;2.04;1424;Típica;9435
L37;Medellín;1.48;2026;Tabi;8237
L38;Medellín;1.58;1696;Borbón;7982
L39;Medellín;1.14;2006;Caturra;5333
L40;Buenos Aires;0.34;1312;Colombia;1598
L41;Diamante;1.76;2054;Borbón;8698
L42;Medellín;0.75;1883;Caturra;3817
L43;Diamante;2.3;1446;Caturra;10965
L44;Diamante;2.97;1479;Caturra;15538
L45;Diamante;3.94;1710;Típica;19116
L46;Diamante;0.91;1548;Colombia;4802
L47;Diamante;1.44;1602;Colombia;6968
L48;Buenos Aires;0.57;1688;Caturra;3037
L49;Buenos Aires;1.67;1537;Colombia;8935
L50;Medellín;0.99;1614;Colombia;5209
L51;Diamante;1.18;1963;Típica;5904
L52;Medellín;1.19;2096;Típica;6084
L53;Medellín;3.61;1236;Colombia;17398
L54;Buenos Aires;2.86;1407;Colombia;13573
L55;Diamante;3.57;1319;Colombia;18549
L56;Medellín;2.41;1311;Típica;12847
L57;Diamante;2.72;2060;Borbón;13483
L58;Buenos Aires;1.9;1880;Típica;8397
L59;Buenos Aires;0.27;1597;Tabi;1412
L60;Diamante;3.43;1600;Tabi;18455
