fecha;lote_id;recolector_id;kg;precio;porcentaje_verde
2015-11-07;L01;T037;59.51;;0.0296
2015-11-23;L01;T028;22.79;680;0.017
2015-11-23;L01;T012;22.79;680;0.017
2015-11-23;L01;T059;22.79;680;0.017
2015-11-05;L01;T083;64.05;650;0.0159
2015-11-15;L01;T072;32.54;650;0.0294
2015-11-15;L01;T037;32.54;650;0.0294
2015-11-26;L01;T020;34.67;650;0.0149
2015-11-05;L01;T085;84.01;725;0.0128
2015-11-04;L01;T041;33.09;680;0.0177
2015-11-04;L01;T096;33.09;680;0.0177
2015-11-19;L01;T044;79.26;1200;0.0201
2015-11-13;L01;T027;21.81;650;0.0203
2015-11-13;L01;T058;21.81;650;0.0203
2015-11-1301;L01;T074;21.81;650;0.0203
2015-11-20;L01;T085;48.28;900;0.0264
2015-11-01;L01;T088;24.12;725;0.0223
2015-11-01;L01;T097;24.12;725;0.0223
2015-11-01;L01;T074;24.12;725;0.0223
2015-11-01;L01;T086;70.33;900;0.0169
2015-11-26;L01;T031;38.22;680;0.0177
2015-11-26;L01;T013;38.22;68150;0.0177
2015-11-02;L01;T036;33.6;680;0.0114
2015-11-02;L01;T058;33.6;680;0.0114
2015-11-21;L01;T003;72.84;900;0.0191
2015-11-21;L01;T082;68;900;0.0225
2015-11-09;L01;T061;28.81;725;0.0284
2015-11-09;L01;T017;28.81;725;0.0284
2015-11-09;L01;T033;28.81;725;0.0284
2015-11-16;L01;T084;21.25;900;0.0173
2015-11-16;L01;T028;21.25;900;0.0173
2015-11-16;L01;T039;21.25;900;0.0173
2015-11-05;L01;T086;25.07;680;0.0144
2015-11-05;L01;T090;25.07;680;0.0144
2015-11-05;L01;T001;25.07;680;0.0144
2015-11-25;L0211;T048;61.14;680;0.0133
2015-11-20;L01;T049;20.73;650;0.0247
2015-11-20;L01;T005;20.73;650;0.0247
2015-11-20;L01;T006;20.73;650;0.0247
2015-11-19;L01;T022;23.59;650;0.0193
2015-11-19;L01;T077;23.59;650;0.0193
